av_chassis, POST /av_chassis
av_queues, POST /av_queues
avalanche, POST /avalanche/$type\\_tests
backup, POST /backup/perform_backup
mutation, POST /mutation/fuzztests
mutation, POST /mutation/hosts
mutation, POST /mutation/players/start
mutation, POST /mutation/profiles
mutation, POST /mutation/protocols/config
player, POST /player/audit_stats
player, POST /player/start
profile, POST /profile/dnss
profile, POST /profile/networks
profile, POST /profile/subnets
profile, POST /profile/traffic_mix
results, POST /results/destroy
tests, POST /tests
tracks, POST /tracks/create_from_query
users, POST /users
